name,requirements,responsibilities,experience,employment,salary_from,salary_to,currency,gross
Senior Data Engineer,Аналогичный опыт работы от 3-х лет. Знание основных подходов и практик проектированию реляционных баз данных (DDS слой на Data...,Подключение новых источников в конвеер загрузки (динамическое формирование DAG). Моделирование и реализация DDS слоя (трансформация на <highlighttext>dbt</highlighttext>). Написание скриптов/тестов...,Более 6 лет,Полная занятость,,,,
Разработчик баз данных,Знаешь Python на уровне обработки данных и работал с <highlighttext>Apache</highlighttext> <highlighttext>Airflow</highlighttext>. Математическое/инженерное образование. Знания и опыт работы с другими...,"Проектирование и подготовка в модели данных интеграционной БД. Разработка ETL-процессов извлечения, подготовка и загрузки данных. Проектирование и реализация витрин...",От 3 до 6 лет,Полная занятость,,,,
Data engineer (Стажер),Имеете высшее образование или заканчиваете учиться. Опыт в ИТ приветствуется. Знаете основы SQL и не боитесь программирование. (При приеме это...,По результатам обучения – обязательное техническое интервью (20 минут) и защита итогового проекта (Проверка и оценка полученных знаний). Представляете проект и...,Нет опыта,Полная занятость,,,,
BI Engineer,"Уверенный уровень владения SQL, понимание оптимизации запросов. Важен опыт с Clickhouse и Greenplum. 1+ работы c Tableau, включая знание...","Работа с бизнес-командами и дата командой. Сбор требований, формирование ТЗ, консультации и постановка задач. Разработка и поддержка дашбордов (Metabase...",От 1 года до 3 лет,Полная занятость,,,,
Data Engineer (Middle),"Понимание ETL-процессов, знание таких инструментов, как <highlighttext>DBT</highlighttext>, Airflow, Airbyte. Опыт проектирования DWH, Data Marts, схем данных (звезда, снежинка, Data...",Проектирование DWH. Формирование ETL-процессов. Наполнение DWH кастомными данными. Взаимодействие с Data Analyst по вопросам данных.,От 3 до 6 лет,Полная занятость,,,,
Data Engineer (Junior),Понимание основ работы баз данных. Умение работать с Git. Опыт работы с <highlighttext>Apache</highlighttext> <highlighttext>Airflow</highlighttext>. Опыт работы с одной из СУБД...,"Разработкой и поддержкой ETL/ELT-процессов. Проектированием и развитием хранилища данных (GreenPlum, ClickHouse). Автоматизацией мониторинга качества витрин данных. ",Нет опыта,Полная занятость,87500.0,,RUR,True
Data Engineer (Middle),Коммерческий опыт работы с хранилищем данных. Опыт работы c <highlighttext>Apache</highlighttext> <highlighttext>AirFlow</highlighttext>. Умение работать с Git. Опыт в проектировании хранилища данных. ,"Разработка и поддержка ETL/ELT-процессов. Проектирование и развитие хранилища данных (GreenPlum, ClickHouse). Автоматизация мониторинга качества витрин данных. ",От 1 года до 3 лет,Полная занятость,152500.0,,RUR,True
Senior Data Engineer,Опыт в роли <highlighttext>Data</highlighttext> <highlighttext>Engineer</highlighttext> или инженера-разработчика на Python не менее 5 лет. Опыт с любыми облачными базами данных...,Работать с облачной СУБД Snowflake. C инструментом <highlighttext>DBT</highlighttext>. C инфраструктурой на базе Kafka. Микросервисами на базе FastAPI. Оперативно решать возникающие...,Более 6 лет,Полная занятость,,,,
Data-инженер/Python-разработчик,"Опыт работы с данными (очистка, преобразование). Опыт проектирования БД и ETL. Знание MS SQL Server ( БД, SSIS,SSAS). ","Запуск и поддержка ETL процессов (сбор данных через API с ВБ, Озон, MPStat). Разработка хранилища данных. Реализация бизнес логики (написание...",От 1 года до 3 лет,Полная занятость,,,,
Data Engineer to Cyprus,Your Experience: ️Russian fluent. ️Understanding of ETL-processes. ️Experience in Data preparation and maintenance for ML models. ️Experience in deploying...,"We operate in the marketing industry, specializing in lead generation for our clients from different industries. We specialize in solving...",От 3 до 6 лет,Полная занятость,,,,
